,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
C13,0.06604651741875295,-0.10119709698136108,0.14697694013442175,0.029668508947427924,-0.10825400648306589,0.07724099298054594,-0.016288915971904024,-0.0131709001552836,-0.1737201121944931,-0.015616099715645105,-0.09551485100019731,0.12544258345982043
C15,0.06707461883386621,-0.16932623131346788,0.2154928880741088,0.05623230227577514,-0.16064929320297683,-0.020420957974838148,-0.21054892657165486,-0.043601367862488645,-0.29028917240772295,-0.03588607779490894,-0.1827431688800566,0.20930979772778086
C16,0.1607749130206007,-0.2875183091041803,0.06475879474712584,0.016234702205627873,-0.07284834283024845,-0.10542843686677672,-0.19350203123942034,-0.24451740319575424,0.040733466384527205,0.22723317045143124,-0.062407437272051156,-0.14241572548153056
C17,0.006970438494870282,0.014931508036029587,0.0021291035211401157,0.028021013534538928,-0.01243025982446522,0.028901884573844572,0.006054048831168625,0.008808962135884031,0.0008814431820955324,-0.006153899190859209,-0.012052874548562718,0.012197191847179906
C18,0.5090433507651202,0.14102192787402598,-0.020130018566233924,0.3226148042488954,0.10132720115702867,0.32201135626661104,0.19507957086989255,-0.11520031921404082,-0.3630377284040443,-0.35347146577141253,0.12406340849928843,0.5075439920456586
C19,0.04394537768246494,-0.08004922127889137,0.1475333268178435,0.14067445884266702,-0.04717300830992891,0.13955357504399266,0.040755857934337704,-0.11130285907747499,0.03181784390807315,-0.04094830514553389,-0.04972473856688315,-0.07396755838463086
C20,0.2948365250156496,0.3151720912121407,0.05041400547156028,0.2868196737627369,0.17100906711299502,0.2837716762846739,0.34783222368850925,0.10345331022379732,0.3704554885239403,-0.0697782497929937,-0.2961853516894429,0.29150921855576356
C21,0.017467881200415543,-0.03664110562907324,0.011403364312607444,0.0410196226099511,-0.010758062644322301,0.027724091279379588,0.0051505260510886774,-0.04021514310209764,-0.014111883009832207,-0.00666084773951156,0.004939882014764311,-0.024392140126499002
C22,-0.6366026954412773,-0.22611352997964146,0.31922114895702086,-0.4852947144479425,-0.042880312788982404,0.04076823281128665,-0.29876484040381207,0.45219236680722635,-0.31427302834981624,-0.28344487095754023,0.5400280979990673,-0.5320601136972001
C30,0.006703376754586506,-0.02303327245091021,0.026211856203453558,0.0035623678953721157,-0.012855414220985947,-0.006671112902639398,0.0036171715226762115,-0.026958733988289758,-0.0075938696379751515,-0.0024220349463324417,-0.016176054401261138,0.00018222074121746707
